"date","value","measurement","city_code","mma","building_code"
"1966-12-08",1.92259675405742,"roof","ot","max","oton"
"1966-12-10",0.480649188514349,"roof","ot","max","oton"
"1966-12-20",1.57927590511861,"roof","ot","max","oton"
"1966-12-21",4.19156609793313,"roof","ot","max","oton"
"1966-12-21",8.58302122347067,"roof","ot","max","oton"
"1966-12-22",12.3824386183936,"roof","ot","max","oton"
"1966-12-24",19.5570814259953,"roof","ot","max","oton"
"1966-12-24",15.8614232209738,"roof","ot","max","oton"
"1966-12-25",24.284228048273,"roof","ot","max","oton"
"1966-12-27",19.7066167290886,"roof","ot","max","oton"
"1966-12-28",29.2646691635456,"roof","ot","max","oton"
"1966-12-28",25.8711333055903,"roof","ot","max","oton"
"1966-12-31",21.8123179359134,"roof","ot","max","oton"
"1966-12-31",19.1573033707865,"roof","ot","max","oton"
"1967-01-02",39.2621722846442,"roof","ot","max","oton"
"1967-01-02",27.8242474684422,"roof","ot","max","oton"
"1967-01-02",30.6928838951311,"roof","ot","max","oton"
"1967-01-02",35.9113607990012,"roof","ot","max","oton"
"1967-01-04",44.1510611735331,"roof","ot","max","oton"
"1967-01-05",49.8089887640449,"roof","ot","max","oton"
"1967-01-05",54.404910528506,"roof","ot","max","oton"
"1967-01-06",45.6616729088639,"roof","ot","max","oton"
"1967-01-09",40.9870162297129,"roof","ot","max","oton"
"1967-01-10",40.1776945484811,"roof","ot","max","oton"
"1967-01-13",42.4573449854349,"roof","ot","max","oton"
"1967-01-16",45.9821057012068,"roof","ot","max","oton"
"1967-01-17",40.1075045082536,"roof","ot","max","oton"
"1967-01-20",34.5228186988487,"roof","ot","max","oton"
"1967-01-21",31.5168539325843,"roof","ot","max","oton"
"1967-01-23",35.4993757802746,"roof","ot","max","oton"
"1967-01-24",39.3583021223471,"roof","ot","max","oton"
"1967-01-25",43.0249687890137,"roof","ot","max","oton"
"1967-01-25",46.9891801914274,"roof","ot","max","oton"
"1967-01-27",50.3766125676238,"roof","ot","max","oton"
"1967-01-29",53.535164377861,"roof","ot","max","oton"
"1967-01-29",56.0986267166042,"roof","ot","max","oton"
"1967-01-31",49.5068664169788,"roof","ot","max","oton"
"1967-02-01",45.7990012484395,"roof","ot","max","oton"
"1967-02-02",41.435011790817,"roof","ot","max","oton"
"1967-02-04",38.3832709113608,"roof","ot","max","oton"
"1967-02-05",34.7669579692052,"roof","ot","max","oton"
"1967-02-08",36.4606741573034,"roof","ot","max","oton"
"1967-02-12",40.6812317935913,"roof","ot","max","oton"
"1967-02-15",44.9750312109863,"roof","ot","max","oton"
"1967-02-16",45.9821057012068,"roof","ot","max","oton"
"1967-02-17",39.7901234567901,"roof","ot","max","oton"
"1967-02-17",43.3270911360799,"roof","ot","max","oton"
"1967-02-20",35.705368289638,"roof","ot","max","oton"
"1967-02-23",32.6124289083091,"roof","ot","max","oton"
"1967-02-23",30.143570536829,"roof","ot","max","oton"
"1967-02-24",38.8410320432792,"roof","ot","max","oton"
"1967-02-26",49.8684977111943,"roof","ot","max","oton"
"1967-02-24",45.4556803995006,"roof","ot","max","oton"
"1967-02-24",40.8551810237203,"roof","ot","max","oton"
"1967-02-28",50.7977528089888,"roof","ot","max","oton"
"1967-03-03",48.3166874739909,"roof","ot","max","oton"
"1967-03-06",45.6845609654598,"roof","ot","max","oton"
"1967-03-08",40.5194895269802,"roof","ot","max","oton"
"1967-03-11",34.1260923845194,"roof","ot","max","oton"
"1967-03-10",37.0099875156055,"roof","ot","max","oton"
"1967-03-12",30.41822721598,"roof","ot","max","oton"
"1967-03-14",27.0307948397836,"roof","ot","max","oton"
"1967-03-14",19.789013732834,"roof","ot","max","oton"
"1967-03-14",23.8813982521848,"roof","ot","max","oton"
"1967-03-16",15.5593008739076,"roof","ot","max","oton"
"1967-03-18",10.9176029962547,"roof","ot","max","oton"
"1967-03-19",7.07240948813981,"roof","ot","max","oton"
"1967-03-21",4.32584269662922,"roof","ot","max","oton"
"1967-03-19",1.51061173533083,"roof","ot","max","oton"
"1967-03-22",10.3682896379526,"roof","ot","max","oton"
"1967-03-23",14.6712442779858,"roof","ot","max","oton"
"1967-03-23",12.4282147315855,"roof","ot","max","oton"
"1967-03-25",8.92634207240948,"roof","ot","max","oton"
"1967-03-26",4.89346650020806,"roof","ot","max","oton"
"1967-03-27",1.71660424469414,"roof","ot","max","oton"
