"date","value","measurement","city_code","mma","building_code"
"1965/11/27",6.07840044078439,"ground","ot",NA,"oton"
"1965/11/30",4.77897304024084,"ground","ot",NA,"oton"
"1965/12/03",4.00986615292992,"ground","ot",NA,"oton"
"1965/12/06",3.25692980512606,"ground","ot",NA,"oton"
"1965/12/09",3.03365251245486,"ground","ot",NA,"oton"
"1965/12/12",3.20422426077977,"ground","ot",NA,"oton"
"1965/12/15",3.17108098789981,"ground","ot",NA,"oton"
"1965/12/17",3.74844946768775,"ground","ot",NA,"oton"
"1965/12/20",5.22330400048129,"ground","ot",NA,"oton"
"1965/12/24",6.08853341593242,"ground","ot",NA,"oton"
"1965/12/29",6.90867109197488,"ground","ot",NA,"oton"
"1966/01/01",6.14062324130268,"ground","ot",NA,"oton"
"1966/01/04",4.40677619683532,"ground","ot",NA,"oton"
"1966/01/06",3.47739238247834,"ground","ot",NA,"oton"
"1966/01/09",2.83394846057941,"ground","ot",NA,"oton"
"1966/01/12",2.69436672791549,"ground","ot",NA,"oton"
"1966/01/15",2.725652288685,"ground","ot",NA,"oton"
"1966/01/17",3.05104745312562,"ground","ot",NA,"oton"
"1966/01/20",4.37872052189427,"ground","ot",NA,"oton"
"1966/01/23",5.36440567941742,"ground","ot",NA,"oton"
"1966/01/26",5.47029526971417,"ground","ot",NA,"oton"
"1966/01/29",6.7984749872402,"ground","ot",NA,"oton"
"1966/02/01",7.29562408043968,"ground","ot",NA,"oton"
"1966/02/04",9.06370158157893,"ground","ot",NA,"oton"
"1966/02/07",9.81651830398175,"ground","ot",NA,"oton"
"1966/02/10",9.2333444738486,"ground","ot",NA,"oton"
"1966/02/12",8.14067198705433,"ground","ot",NA,"oton"
"1966/02/16",7.82401651367887,"ground","ot",NA,"oton"
"1966/02/19",8.2231712930511,"ground","ot",NA,"oton"
"1966/02/22",8.42735074228358,"ground","ot",NA,"oton"
"1966/02/25",7.92956833813736,"ground","ot",NA,"oton"
"1966/02/28",7.44930753685124,"ground","ot",NA,"oton"
"1966/03/03",6.7911285802579,"ground","ot",NA,"oton"
"1966/03/05",5.91627283841616,"ground","ot",NA,"oton"
"1966/03/09",5.19239842627985,"ground","ot",NA,"oton"
"1966/03/12",4.61431219408561,"ground","ot",NA,"oton"
"1966/03/14",4.22849916532493,"ground","ot",NA,"oton"
