"date","value","measurement","city_code","mma","building_code"
"1966/12/08",0.787316079525041,"roof","ot","min","oton"
"1966/12/11",0.144034122726353,"roof","ot","min","oton"
"1966/12/14",-0.302249241655858,"roof","ot","min","oton"
"1966/12/17",-0.293920469692267,"roof","ot","min","oton"
"1966/12/21",-0.285591697728677,"roof","ot","min","oton"
"1966/12/24",-0.277262925765086,"roof","ot","min","oton"
"1966/12/27",0.193254851483388,"roof","ot","min","oton"
"1966/12/30",2.29279945063756,"roof","ot","min","oton"
"1967/01/02",1.47524950823964,"roof","ot","min","oton"
"1967/01/06",0.301586725704198,"roof","ot","min","oton"
"1967/01/09",0.309915497667774,"roof","ot","min","oton"
"1967/01/12",0.318244269631364,"roof","ot","min","oton"
"1967/01/15",0.326573041594955,"roof","ot","min","oton"
"1967/01/18",0.334901813558545,"roof","ot","min","oton"
"1967/01/21",0.343230585522122,"roof","ot","min","oton"
"1967/01/25",0.351559357485712,"roof","ot","min","oton"
"1967/01/28",0.359888129449303,"roof","ot","min","oton"
"1967/01/31",0.246986998387371,"roof","ot","min","oton"
"1967/02/03",0.376545673376469,"roof","ot","min","oton"
"1967/02/06",0.293952018070911,"roof","ot","min","oton"
"1967/02/10",0.39320321730365,"roof","ot","min","oton"
"1967/02/13",0.977374028638579,"roof","ot","min","oton"
"1967/02/17",3.22984413523528,"roof","ot","min","oton"
"1967/02/20",2.01072013906526,"roof","ot","min","oton"
"1967/02/23",0.755365984853626,"roof","ot","min","oton"
"1967/02/26",0.436235205782182,"roof","ot","min","oton"
"1967/03/01",0.505178929258548,"roof","ot","min","oton"
"1967/03/04",0.63473760424769,"roof","ot","min","oton"
"1967/03/08",0.733988803480415,"roof","ot","min","oton"
"1967/03/11",0.833240002713154,"roof","ot","min","oton"
"1967/03/14",0.841568774676745,"roof","ot","min","oton"
"1967/03/17",1.03174240117866,"roof","ot","min","oton"
"1967/03/20",1.58352354376628,"roof","ot","min","oton"
"1967/03/24",0.942323779958485,"roof","ot","min","oton"
"1967/03/27",1.76606246263489,"roof","ot","min","oton"
"1967/03/30",0.337678070879747,"roof","ot","min","oton"
"1967/04/01",0.252308158252987,"roof","ot","min","oton"
