"date","value","measurement","city_code","mma","building_code"
"1966/01/26",4.46143833387569,"roof","ot","max","oton"
"1966/01/29",4.54496149256968,"roof","ot","max","oton"
"1966/01/31",4.40177893480853,"roof","ot","max","oton"
"1966/02/03",2.77904328018224,"roof","ot","max","oton"
"1966/02/05",1.41880898145135,"roof","ot","max","oton"
"1966/02/10",2.49267816465994,"roof","ot","max","oton"
"1966/02/12",4.71996239649999,"roof","ot","max","oton"
"1966/02/15",5.88133203167374,"roof","ot","max","oton"
"1966/02/18",5.39610225259426,"roof","ot","max","oton"
"1966/02/21",4.79950826192282,"roof","ot","max","oton"
"1966/02/24",3.84495787684853,"roof","ot","max","oton"
"1966/02/26",3.28813681888855,"roof","ot","max","oton"
"1966/03/01",2.49267816465994,"roof","ot","max","oton"
"1966/03/04",1.82449289510794,"roof","ot","max","oton"
"1966/03/07",1.10062551975992,"roof","ot","max","oton"
"1966/03/10",0.523917995444179,"roof","ot","max","oton"
"1966/03/13",-0.132335394294387,"roof","ot","max","oton"
"1966/03/15",-0.132335394294387,"roof","ot","max","oton"
