"date","value","measurement","city_code","mma","building_code"
"1965/11/20",0.114921703867424,"roof","ed","min","edab"
"1965/11/23",0.831798183331045,"roof","ed","min","edab"
"1965/11/25",1.06579163160619,"roof","ed","min","edab"
"1965/11/28",1.3802655850794,"roof","ed","min","edab"
"1965/12/01",1.39658926595378,"roof","ed","min","edab"
"1965/12/04",2.12993424982297,"roof","ed","min","edab"
"1965/12/07",2.13589960003688,"roof","ed","min","edab"
"1965/12/09",0.18474733498401,"roof","ed","min","edab"
"1965/12/12",0.320550429102312,"roof","ed","min","edab"
"1965/12/15",1.18802958830165,"roof","ed","min","edab"
"1965/12/18",1.40860961904377,"roof","ed","min","edab"
"1965/12/21",1.28044079392754,"roof","ed","min","edab"
"1965/12/23",1.31323297920747,"roof","ed","min","edab"
"1965/12/26",1.30578491188837,"roof","ed","min","edab"
"1965/12/29",1.09775625385066,"roof","ed","min","edab"
"1966/01/01",1.53170962056782,"roof","ed","min","edab"
"1966/01/04",2.1083658882114,"roof","ed","min","edab"
"1966/01/06",2.32223921018701,"roof","ed","min","edab"
"1966/01/09",2.56465311234791,"roof","ed","min","edab"
"1966/01/12",3.23286888532672,"roof","ed","min","edab"
"1966/01/15",3.58758309139898,"roof","ed","min","edab"
"1966/01/18",4.14349856046645,"roof","ed","min","edab"
"1966/01/21",4.27249494861813,"roof","ed","min","edab"
"1966/01/23",4.57124520441769,"roof","ed","min","edab"
"1966/01/26",4.64427764229667,"roof","ed","min","edab"
"1966/01/29",4.63682957497757,"roof","ed","min","edab"
"1966/02/01",4.57448649297321,"roof","ed","min","edab"
"1966/02/04",4.29877007499385,"roof","ed","min","edab"
"1966/02/07",4.1303609972786,"roof","ed","min","edab"
"1966/02/10",4.1229129299595,"roof","ed","min","edab"
"1966/02/12",4.11546486264039,"roof","ed","min","edab"
"1966/02/15",4.10801679532129,"roof","ed","min","edab"
"1966/02/18",4.10056872800219,"roof","ed","min","edab"
"1966/02/21",4.57637609523752,"roof","ed","min","edab"
"1966/02/23",4.56855562455246,"roof","ed","min","edab"
"1966/02/26",4.17517353564853,"roof","ed","min","edab"
"1966/03/01",2.71833156803206,"roof","ed","min","edab"
"1966/03/04",1.13346559883058,"roof","ed","min","edab"
"1966/03/07",0.67590599652705,"roof","ed","min","edab"
"1966/03/09",0.40699973269362,"roof","ed","min","edab"
"1966/03/12",0.821763981526146,"roof","ed","min","edab"
"1966/03/15",0.775317006161174,"roof","ed","min","edab"
"1966/03/18",0.0410617029529874,"roof","ed","min","edab"
