"date","value","measurement","city_code","mma","building_code"
"1966/01/09",0.0845662077576179,"roof","sa","min","saqc"
"1966/01/12",0.036586260645791,"roof","sa","min","saqc"
"1966/01/15",0.109868543105407,"roof","sa","min","saqc"
"1966/01/18",0.627779000660354,"roof","sa","min","saqc"
"1966/01/20",0.701061283119984,"roof","sa","min","saqc"
"1966/01/23",0.308875085228948,"roof","sa","min","saqc"
"1966/01/26",0.241314700182002,"roof","sa","min","saqc"
"1966/01/29",0.23375549626067,"roof","sa","min","saqc"
"1966/01/31",0.145354805958362,"roof","sa","min","saqc"
"1966/02/03",0.218637088417992,"roof","sa","min","saqc"
"1966/02/06",0.21107788449666,"roof","sa","min","saqc"
"1966/02/09",0.203518680575314,"roof","sa","min","saqc"
"1966/02/12",0.26332738197145,"roof","sa","min","saqc"
"1966/02/14",0.390503988685055,"roof","sa","min","saqc"
"1966/02/17",0.140420325620823,"roof","sa","min","saqc"
"1966/02/20",0.254123351270934,"roof","sa","min","saqc"
"1966/02/23",0.165722660968626,"roof","sa","min","saqc"
"1966/02/26",0.158163457047294,"roof","sa","min","saqc"
"1966/02/28",0.191024996316457,"roof","sa","min","saqc"
"1966/03/03",0.183465792395111,"roof","sa","min","saqc"
"1966/03/06",0.0876108871148205,"roof","sa","min","saqc"
