"date","value","measurement","city_code","mma"
"1966-11-02",29.2882205773103,"wind","gblb",NA
"1966-11-04",32.2651616895089,"wind","gblb",NA
"1966-11-06",26.9003851080517,"wind","gblb",NA
"1966-11-09",30.0321144108219,"wind","gblb",NA
"1966-11-10",34.0098067010042,"wind","gblb",NA
"1966-11-15",28.0467282370495,"wind","gblb",NA
"1966-11-16",25.9784848553827,"wind","gblb",NA
"1966-11-20",25.8799211987393,"wind","gblb",NA
"1966-11-23",21.3876492267834,"wind","gblb",NA
"1966-11-25",23.5337419631198,"wind","gblb",NA
"1966-11-28",27.8304800296332,"wind","gblb",NA
"1966-11-28",30.7887555070865,"wind","gblb",NA
"1966-12-01",35.3579663149443,"wind","gblb",NA
"1966-12-01",40.2725368915303,"wind","gblb",NA
"1966-12-01",43.1586082306758,"wind","gblb",NA
"1966-12-04",27.278022767108,"wind","gblb",NA
"1966-12-06",30.0949402058187,"wind","gblb",NA
"1966-12-09",32.1060485347891,"wind","gblb",NA
"1966-12-12",28.6680434814099,"wind","gblb",NA
"1966-12-13",33.7108378635091,"wind","gblb",NA
"1966-12-16",23.3907905165332,"wind","gblb",NA
"1966-12-16",21.0575861733586,"wind","gblb",NA
"1966-12-17",27.5108879420413,"wind","gblb",NA
"1966-12-18",30.7382217154587,"wind","gblb",NA
"1966-12-22",36.7128182418296,"wind","gblb",NA
"1966-12-22",44.806191941495,"wind","gblb",NA
"1966-12-22",40.6810866627625,"wind","gblb",NA
"1966-12-22",50.6362436134352,"wind","gblb",NA
"1966-12-22",47.4075440618656,"wind","gblb",NA
"1966-12-25",33.5904217564321,"wind","gblb",NA
"1966-12-29",29.8471880490273,"wind","gblb",NA
"1967-01-01",29.6237467433434,"wind","gblb",NA
"1967-01-02",27.7376071152903,"wind","gblb",NA
"1967-01-04",23.428577045408,"wind","gblb",NA
"1967-01-06",21.2040658801716,"wind","gblb",NA
"1967-01-08",25.30105889194,"wind","gblb",NA
"1967-01-10",22.9642124736932,"wind","gblb",NA
"1967-01-15",27.5999366775584,"wind","gblb",NA
"1967-01-16",30.7283198238561,"wind","gblb",NA
"1967-01-20",27.960228954083,"wind","gblb",NA
"1967-01-24",23.5781297530632,"wind","gblb",NA
"1967-01-27",23.0120147090169,"wind","gblb",NA
"1967-01-28",24.712408508384,"wind","gblb",NA
"1967-01-31",30.4220440732471,"wind","gblb",NA
"1967-02-02",27.6563433152402,"wind","gblb",NA
"1967-02-05",30.7453920507573,"wind","gblb",NA
"1967-02-05",34.9161370827392,"wind","gblb",NA
"1967-02-07",26.3003532398948,"wind","gblb",NA
"1967-02-09",31.6737797496488,"wind","gblb",NA
"1967-02-09",35.8007060659174,"wind","gblb",NA
"1967-02-12",28.1698759004306,"wind","gblb",NA
"1967-02-15",25.6518362473383,"wind","gblb",NA
"1967-02-17",27.439412218748,"wind","gblb",NA
"1967-02-19",31.9209855951792,"wind","gblb",NA
"1967-02-19",35.1483193685967,"wind","gblb",NA
"1967-02-21",41.1150399076237,"wind","gblb",NA
"1967-02-21",49.9121080371906,"wind","gblb",NA
"1967-02-21",46.1715148342132,"wind","gblb",NA
"1967-02-23",33.255350849783,"wind","gblb",NA
"1967-02-23",29.0842643732631,"wind","gblb",NA
"1967-02-27",25.1733586347185,"wind","gblb",NA
"1967-03-03",23.0994245107514,"wind","gblb",NA
"1967-03-06",24.8853160224402,"wind","gblb",NA
"1967-03-06",21.9248552999435,"wind","gblb",NA
"1967-03-08",26.6727554160347,"wind","gblb",NA
"1967-03-11",23.7287067943325,"wind","gblb",NA
"1967-03-12",24.5997318108356,"wind","gblb",NA
"1967-03-14",22.800319095441,"wind","gblb",NA
"1967-03-15",27.4152834713942,"wind","gblb",NA
"1967-03-16",21.6264327737092,"wind","gblb",NA
"1967-03-21",23.9480280025909,"wind","gblb",NA
"1967-03-23",25.3768595793817,"wind","gblb",NA
"1967-03-26",25.9067815023974,"wind","gblb",NA
"1967-03-29",30.8802626432774,"wind","gblb",NA
