"date","value","measurement","city_code","mma","building_code"
"1966/01/12",0.26630596184944,"roof","np","min","nppe"
"1966/01/14",0.542736667448196,"roof","np","min","nppe"
"1966/01/17",1.1181560769744,"roof","np","min","nppe"
"1966/01/20",1.13561419012751,"roof","np","min","nppe"
"1966/01/23",0.681597441400498,"roof","np","min","nppe"
"1966/01/26",-0.0149283700350509,"roof","np","min","nppe"
"1966/01/28",0.0179775280898866,"roof","np","min","nppe"
"1966/01/31",-0.19226047697201,"roof","np","min","nppe"
"1966/02/03",-0.240402546576007,"roof","np","min","nppe"
"1966/02/06",-0.248020632315544,"roof","np","min","nppe"
"1966/02/09",-0.255638718055081,"roof","np","min","nppe"
"1966/02/11",0.317586964929461,"roof","np","min","nppe"
"1966/02/14",0.653198910671449,"roof","np","min","nppe"
"1966/02/17",0.790959294461373,"roof","np","min","nppe"
"1966/02/20",1.20529851329498,"roof","np","min","nppe"
"1966/02/23",2.66452167535365,"roof","np","min","nppe"
"1966/02/25",4.85292261078147,"roof","np","min","nppe"
"1966/03/01",4.79578696773495,"roof","np","min","nppe"
"1966/03/03",3.08679640016593,"roof","np","min","nppe"
"1966/03/06",1.66792793117752,"roof","np","min","nppe"
"1966/03/09",0.883582520244559,"roof","np","min","nppe"
"1966/03/11",0.309580921119874,"roof","np","min","nppe"
