"date","value","measurement","city_code","mma","building_code"
"1967-01-23",0.738821012793608,"roof","qc","avg","qcqc"
"1967-01-25",0.761446377884738,"roof","qc","avg","qcqc"
"1967-01-28",1.46283269570944,"roof","qc","avg","qcqc"
"1967-02-01",1.50808342589167,"roof","qc","avg","qcqc"
"1967-02-04",1.50808342589167,"roof","qc","avg","qcqc"
"1967-02-07",1.50808342589167,"roof","qc","avg","qcqc"
"1967-02-11",1.50808342589167,"roof","qc","avg","qcqc"
"1967-02-13",1.50808342589167,"roof","qc","avg","qcqc"
