"date","value","measurement","city_code","mma"
"1965/11/07",0.9067357512954,"accume","avqc",NA
"1965/11/09",8.39742551813481,"accume","avqc",NA
"1965/11/14",12.7120304404145,"accume","avqc",NA
"1965/11/16",18.1502320811743,"accume","avqc",NA
"1965/11/18",23.9465943436961,"accume","avqc",NA
"1965/11/21",24.6611884715027,"accume","avqc",NA
"1965/11/24",25.6622409326426,"accume","avqc",NA
"1965/11/26",28.2294365284974,"accume","avqc",NA
"1965/11/28",35.119548791019,"accume","avqc",NA
"1965/11/30",36.761050841969,"accume","avqc",NA
"1965/12/06",36.6141110751296,"accume","avqc",NA
"1965/12/09",38.4751457253886,"accume","avqc",NA
"1965/12/12",39.1636981865286,"accume","avqc",NA
"1965/12/13",43.0602331606219,"accume","avqc",NA
"1965/12/15",48.9123218911917,"accume","avqc",NA
"1965/12/17",53.0408031088083,"accume","avqc",NA
"1965/12/20",54.4721502590675,"accume","avqc",NA
"1965/12/25",57.6894430051814,"accume","avqc",NA
"1965/12/29",60.3238341968912,"accume","avqc",NA
"1966/01/01",63.5123866580312,"accume","avqc",NA
"1966/01/03",67.1694462435234,"accume","avqc",NA
"1966/01/06",70.4375809585493,"accume","avqc",NA
"1966/01/09",73.4686690414508,"accume","avqc",NA
"1966/01/12",76.1884715025907,"accume","avqc",NA
"1966/01/15",77.5398720854923,"accume","avqc",NA
"1966/01/17",80.1437014248705,"accume","avqc",NA
"1966/01/20",79.7385038860104,"accume","avqc",NA
"1966/01/23",79.8020563471504,"accume","avqc",NA
"1966/01/26",80.5687338082902,"accume","avqc",NA
"1966/01/28",85.2192627374784,"accume","avqc",NA
"1966/01/30",90.625,"accume","avqc",NA
"1966/02/02",93.81355246114,"accume","avqc",NA
"1966/02/05",95.2833549222798,"accume","avqc",NA
"1966/02/07",95.5812823834198,"accume","avqc",NA
"1966/02/10",95.567924222798,"accume","avqc",NA
"1966/02/12",96.9632448186529,"accume","avqc",NA
"1966/02/15",99.0580472797928,"accume","avqc",NA
"1966/02/20",100.591402202073,"accume","avqc",NA
"1966/02/23",100.654954663212,"accume","avqc",NA
"1966/02/26",101.031007124352,"accume","avqc",NA
"1966/03/01",103.516434585492,"accume","avqc",NA
"1966/03/03",106.706201424871,"accume","avqc",NA
"1966/03/08",110.508824481865,"accume","avqc",NA
"1966/03/13",115.250161917099,"accume","avqc",NA
"1966/03/16",116.954339378238,"accume","avqc",NA
"1966/03/19",117.877266839378,"accume","avqc",NA
"1966/03/21",118.331444300518,"accume","avqc",NA
"1966/03/24",118.568086139896,"accume","avqc",NA
"1966/03/27",119.520320595855,"accume","avqc",NA
"1966/03/30",120.983646373057,"accume","avqc",NA
"1966/03/31",123.90422603627,"accume","avqc",NA
