"date","value","measurement","city_code","mma","building_code"
"1966/01/05",20.409624324759,"roof","lc","max","lcab"
"1966/01/07",26.3584702957086,"roof","lc","max","lcab"
"1966/01/06",23.0653067961413,"roof","lc","max","lcab"
"1966/01/08",29.35794970289,"roof","lc","max","lcab"
"1966/01/09",33.1808408193384,"roof","lc","max","lcab"
"1966/01/11",35.9716521153565,"roof","lc","max","lcab"
"1966/01/13",32.9060171732525,"roof","lc","max","lcab"
"1966/01/15",29.9989580664518,"roof","lc","max","lcab"
"1966/01/18",27.1574271842005,"roof","lc","max","lcab"
"1966/01/21",24.5216129692259,"roof","lc","max","lcab"
"1966/01/24",22.832996282555,"roof","lc","max","lcab"
"1966/01/26",25.6662795759663,"roof","lc","max","lcab"
"1966/01/28",28.0582860151062,"roof","lc","max","lcab"
"1966/01/30",31.0487054150956,"roof","lc","max","lcab"
"1966/02/01",30.4266809031531,"roof","lc","max","lcab"
"1966/02/04",27.1608208304813,"roof","lc","max","lcab"
"1966/02/06",24.718783818141,"roof","lc","max","lcab"
"1966/02/09",23.7517488847595,"roof","lc","max","lcab"
"1966/02/11",23.7193549884427,"roof","lc","max","lcab"
"1966/02/14",23.2491807219015,"roof","lc","max","lcab"
"1966/02/17",21.7056886907299,"roof","lc","max","lcab"
"1966/02/21",19.618287714734,"roof","lc","max","lcab"
"1966/02/23",16.1086404337809,"roof","lc","max","lcab"
"1966/02/25",13.3923042479617,"roof","lc","max","lcab"
"1966/02/28",11.531228627566,"roof","lc","max","lcab"
"1966/03/03",12.7868777514653,"roof","lc","max","lcab"
"1966/03/06",14.0690590190146,"roof","lc","max","lcab"
"1966/03/09",12.8970169989425,"roof","lc","max","lcab"
"1966/03/12",12.2543837986765,"roof","lc","max","lcab"
"1966/03/14",10.3104415063695,"roof","lc","max","lcab"
"1966/03/16",7.52950263589557,"roof","lc","max","lcab"
"1966/03/18",4.94693781619986,"roof","lc","max","lcab"
"1966/03/20",0.747146287049503,"roof","lc","max","lcab"
