"date","value","measurement","city_code","mma","building_code"
"1966/01/03",0.000591955481581863,"roof","tr","avg","tron"
"1966/01/06",1.54331901042974,"roof","tr","avg","tron"
"1966/01/09",1.80878827637864,"roof","tr","avg","tron"
"1966/01/12",1.07248672742605,"roof","tr","avg","tron"
"1966/01/15",0.616681006645933,"roof","tr","avg","tron"
"1966/01/18",0.227660006859196,"roof","tr","avg","tron"
"1966/01/20",0.587880095717509,"roof","tr","avg","tron"
"1966/01/22",4.02270177731077,"roof","tr","avg","tron"
"1966/01/24",8.62809265611637,"roof","tr","avg","tron"
"1966/01/27",9.52743240519411,"roof","tr","avg","tron"
"1966/01/30",8.49059961177113,"roof","tr","avg","tron"
"1966/02/02",7.33230210704139,"roof","tr","avg","tron"
"1966/02/04",5.83590695228236,"roof","tr","avg","tron"
"1966/02/07",5.09083990869942,"roof","tr","avg","tron"
"1966/02/10",3.54247789291742,"roof","tr","avg","tron"
"1966/02/12",-0.0970806989713253,"roof","tr","avg","tron"
"1966/02/15",-0.4326739219633,"roof","tr","avg","tron"
"1966/02/18",0.140005060555325,"roof","tr","avg","tron"
"1966/02/21",0.111621554133109,"roof","tr","avg","tron"
"1966/02/24",-0.397611943441746,"roof","tr","avg","tron"
"1966/02/26",-0.0119301797047342,"roof","tr","avg","tron"
"1966/03/01",0.0689628135985458,"roof","tr","avg","tron"
"1966/03/04",-0.0417328614480255,"roof","tr","avg","tron"
"1966/03/07",0.343698459585283,"roof","tr","avg","tron"
"1966/03/10",0.408813562553888,"roof","tr","avg","tron"
"1966/03/12",0.393787000330377,"roof","tr","avg","tron"
"1966/03/15",0.378760438106838,"roof","tr","avg","tron"
"1966/03/18",0.747662540694307,"roof","tr","avg","tron"
"1966/03/21",0.951022016119282,"roof","tr","avg","tron"
"1966/03/23",1.13885404391328,"roof","tr","avg","tron"
"1966/03/27",-0.163448015458556,"roof","tr","avg","tron"
"1966/03/30",0.461406530336177,"roof","tr","avg","tron"
"1966/04/02",-0.195504681535397,"roof","tr","avg","tron"
"1966/04/03",0.0356539340031077,"roof","tr","avg","tron"
