"","building_code","city_code","season","ground_max","roof_max","gr","sqrtgr","logground","measurement.x","wind_avg","measurement.y","temp_avg","City","Province","Type","Bld_Type","Name","Roof_Type","Slope","Size","Eave_Height","Material","Exposure","Heated","Insulated","Parapet","order","lat","long","roofflat","measurement.x.x","winter_wind","measurement.y.y","above_freeze","residual"
"17","clab03","clab",2,18.83610921,4.053012396,0.215172483383579,0.463866881102304,2.93577573030462,"wind",19.0471215163281,"temp",17.9001894665333,"Cold Lake","AB","C",3,"ME Garage","Flat",0,26112,21,NA,2,0,0,0,73,54.5,-110.2,1,"wind",0.984375,"temp",0.2,-0.123380726343007
"18","clab03","clab",5,15.78220544,7.712254707,0.488667742687805,0.69904773992039,2.75888306737567,"wind",18.3083287937956,"temp",15.8792325789101,"Cold Lake","AB","C",3,"ME Garage","Flat",0,26112,21,NA,2,0,0,0,73,54.5,-110.2,1,"wind",1,"temp",0.0786516853932584,0.0886594669721349
"19","clab03","clab",6,14.53593128,3.704169286,0.254828480862218,0.504805389097837,2.67662360350977,"wind",16.9642532725913,"temp",4.51390770317273,"Cold Lake","AB","C",3,"ME Garage","Flat",0,26112,21,NA,2,0,0,0,73,54.5,-110.2,1,"wind",0.965217391304348,"temp",0.0272727272727273,-0.116343865715093
"20","clab03","clab",7,20,5.384615385,0.26923076925,0.518874521681302,2.99573227355399,"wind",17.7413725240588,"temp",6.71750404158904,"Cold Lake","AB","C",3,"ME Garage","Flat",0,26112,21,NA,2,0,0,0,73,54.5,-110.2,1,"wind",0.988235294117647,"temp",0.0273972602739726,-0.0605297174237174
"21","clab03","clab",8,12.81755451,10.83461607,0.845295103800577,0.919399316837127,2.55081567744608,"wind",20.0100626977551,"temp",9.65571658503448,"Cold Lake","AB","C",3,"ME Garage","Flat",0,26112,21,NA,2,0,0,0,73,54.5,-110.2,1,"wind",0.979591836734694,"temp",0.0344827586206897,0.281792176849907
"22","clab04","clab",2,16.45058249,8.627095464,0.524424923509198,0.724171888096464,2.80036088631091,"wind",19.0471215163281,"temp",17.9001894665333,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,127563,53,NA,2,0,0,0,74,54.5,-110.2,1,"wind",0.984375,"temp",0.2,0.119209641970801
"23","clab04","clab",5,17.63166088,6.943652797,0.393817283820173,0.62754863064162,2.8696961995732,"wind",18.3083287937956,"temp",15.8792325789101,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,127563,53,NA,2,0,0,0,74,54.5,-110.2,1,"wind",1,"temp",0.0786516853932584,0.0316566606098222
"24","clab04","clab",6,16.26572168,3.522126778,0.216536766538354,0.465335112084134,2.78905992906088,"wind",16.9642532725913,"temp",4.51390770317273,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,127563,53,NA,2,0,0,0,74,54.5,-110.2,1,"wind",0.965217391304348,"temp",0.0272727272727273,-0.141105497627989
"25","clab04","clab",7,19.38746439,7.248251748,0.37386280135419,0.611443211880048,2.96462669175049,"wind",17.7413725240588,"temp",6.71750404158904,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,127563,53,NA,2,0,0,0,74,54.5,-110.2,1,"wind",0.988235294117647,"temp",0.0273972602739726,0.0279698166445766
"26","clab04","clab",8,12.79991462,4.176732544,0.326309406585714,0.571234983685098,2.54943850059082,"wind",20.0100626977551,"temp",9.65571658503448,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,127563,53,NA,2,0,0,0,74,54.5,-110.2,1,"wind",0.979591836734694,"temp",0.0344827586206897,-0.0665523152098928
