"","building_code","city_code","season","ground_max","roof_max","gr","sqrtgr","logground","measurement.x","wind_avg","measurement.y","temp_avg","City","Province","Type","Bld_Type","Name","Roof_Type","Slope","Size","Eave_Height","Material","Exposure","Heated","Insulated","Parapet","order","lat","long","roofflat","measurement.x.x","winter_wind","measurement.y.y","above_freeze","measurement.x.x.x","winter_wind_all","start_date.x","end_date.x","measurement.y.y.y","above_freeze_all","start_date.y","end_date.y","measurement","winter_wind_3month","start_date.x.x","end_date.x.x","winter_wind_snow","start_date.y.y","end_date.y.y","logsize","est_wind","est_wind_avg","est_temp_avg","slope15","exposed","sheltered","slope_1_15"
"11","clab01","clab",6,0.7337988687708,0.19430417689704,0.264792145595049,0.514579581401215,-0.309520308666395,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",0.965217391304348,"temp",0.0272727272727273,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"12","clab01","clab",7,1.0765019998404,0.27531,0.255744996331467,0.505712365215116,0.0737168955450325,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",0.988235294117647,"temp",0.0273972602739726,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"13","clab01","clab",8,0.5710948319916,0.16441006428504,0.287885750448287,0.536549858306091,-0.560200002570264,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",0.979591836734694,"temp",0.0344827586206897,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"14","clab01","clab",9,1.8890080700148,0.5041715933268,0.266897532800297,0.51662126630666,0.636051860619723,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",0.896103896103896,"temp",0,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"15","clab01","clab",10,1.5933180069072,0.7195588291332,0.451610303789851,0.672019570987223,0.465818638693092,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",1,"temp",0.0459770114942529,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"16","clab01","clab",11,1.4088148146828,0.5589283951944,0.396736596867946,0.62987030162403,0.342748793961434,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,71,54.5,-110.25,1,"wind",1,"temp",0,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.974082073434125,1958-02-01,1967-03-26,7.65620942226368,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"17","clab03","clab",2,0.9018729089748,0.19405823352048,0.215172483383579,0.463866881102304,-0.10328166798775,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,73,54.5,-110.25,1,"wind",0.984375,"temp",0.2,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.981424148606811,1958-02-01,1964-03-21,7.79395134742454,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"18","clab03","clab",5,0.7556519964672,0.36926275537116,0.488667742687805,0.69904773992039,-0.280174330916695,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,73,54.5,-110.25,1,"wind",1,"temp",0.0786516853932584,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.981424148606811,1958-02-01,1964-03-21,7.79395134742454,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"19","clab03","clab",6,0.6959803896864,0.17735562541368,0.254828480862218,0.504805389097837,-0.362433794782592,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,73,54.5,-110.25,1,"wind",0.965217391304348,"temp",0.0272727272727273,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.981424148606811,1958-02-01,1964-03-21,7.79395134742454,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"20","clab03","clab",7,0.9576,0.2578153846338,0.26923076925,0.518874521681302,-0.0433251247383737,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,73,54.5,-110.25,1,"wind",0.988235294117647,"temp",0.0273972602739726,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.981424148606811,1958-02-01,1964-03-21,7.79395134742454,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"21","clab03","clab",8,0.6137045099388,0.5187614174316,0.845295103800577,0.919399316837127,-0.488241720846286,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,73,54.5,-110.25,1,"wind",0.979591836734694,"temp",0.0344827586206897,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.981424148606811,1958-02-01,1964-03-21,7.79395134742454,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"22","clab04","clab",2,0.7876538896212,0.41306533081632,0.524424923509198,0.724171888096464,-0.23869651198145,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",0.984375,"temp",0.2,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"23","clab04","clab",5,0.8442039229344,0.33246209592036,0.393817283820173,0.62754863064162,-0.169361198719163,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",1,"temp",0.0786516853932584,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"24","clab04","clab",6,0.7788027540384,0.16863943013064,0.216536766538354,0.465335112084134,-0.249997469231485,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",0.965217391304348,"temp",0.0272727272727273,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"25","clab04","clab",7,0.9282717949932,0.34704629369424,0.37386280135419,0.611443211880048,-0.0744307065418778,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",0.988235294117647,"temp",0.0273972602739726,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"26","clab04","clab",8,0.6128599120056,0.19998195420672,0.326309406585714,0.571234983685098,-0.48961889770154,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",0.979591836734694,"temp",0.0344827586206897,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"27","clab04","clab",9,1.507061696616,0.5421482837316,0.359738612525921,0.599782137551562,0.410161858830227,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",0.896103896103896,"temp",0,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"28","clab04","clab",10,1.5086640266712,0.8008531842024,0.53083600460034,0.728584933003929,0.411224508655183,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",1,"temp",0.0459770114942529,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"29","clab04","clab",11,1.2838158441108,0.672643649916,0.523940916449655,0.723837631274898,0.249836771391903,"wind",8.87687753292283,"temp",-13.7666192215214,"Cold Lake","AB","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,74,54.5,-110.25,1,"wind",1,"temp",0,"wind",0.977211796246649,1958-02-01,1967-03-30,"temp",0.045643153526971,1958-02-02,1967-03-29,"wind",0.976495726495726,1958-02-01,1967-02-28,0.97489539748954,1958-02-01,1967-03-26,9.38016672885246,0.161327568457015,3.14219029999586,-6.23357369339971,0,1,0,0
"30","cxbc03","cxbc",3,0.758505257118,0.39225810542688,0.517146192126994,0.719128772979495,-0.276405549277556,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,67,49.75,-125,1,"wind",0.666666666666667,"temp",0.90625,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.806451612903226,1958-12-09,1967-01-28,7.79395134742454,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"31","cxbc03","cxbc",9,1.1506941368748,0.26670971697804,0.231781590286367,0.481437005522392,0.140365357566023,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,67,49.75,-125,1,"wind",0.83,"temp",0.823529411764706,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.806451612903226,1958-12-09,1967-01-28,7.79395134742454,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"32","cxbc03","cxbc",10,0.5962747420476,0.39367541097864,0.660224864844624,0.81254222342265,-0.517053741543921,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,67,49.75,-125,1,"wind",1,"temp",0.869565217391304,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.806451612903226,1958-12-09,1967-01-28,7.79395134742454,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"33","cxbc03","cxbc",11,0.17952147089352,0.01956281920992,0.10897203054627,0.330109119150426,-1.71746046320143,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",3,"ME Garage","Flat",0,2425.88418048,21,NA,2,0,0,0,67,49.75,-125,1,"wind",1,"temp",1,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.806451612903226,1958-12-09,1967-01-28,7.79395134742454,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"34","cxbc04","cxbc",3,0.41590800337968,0.26236902462624,0.630834277037763,0.794250764581164,-0.877291188899118,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,68,49.75,-125,1,"wind",0.666666666666667,"temp",0.90625,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.818181818181818,1958-12-09,1967-01-28,9.38016672885246,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"35","cxbc04","cxbc",9,1.275444116604,0.3199902293952,0.250885338863146,0.50088455642308,0.243294444706947,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,68,49.75,-125,1,"wind",0.83,"temp",0.823529411764706,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.818181818181818,1958-12-09,1967-01-28,9.38016672885246,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"36","cxbc04","cxbc",10,0.5904472466592,0.5173055321868,0.876124895346296,0.936015435420963,-0.526874984068422,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,68,49.75,-125,1,"wind",1,"temp",0.869565217391304,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.818181818181818,1958-12-09,1967-01-28,9.38016672885246,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"37","cxbc04","cxbc",11,0.1978974790632,0.110099546487,0.556346382016513,0.74588630636077,-1.62000616489235,"wind",13.0737891242945,"temp",3.70428425757576,"Comox","BC","C",4,"Cant Hangar","Flat",0,11850.99049152,53,NA,2,0,0,0,68,49.75,-125,1,"wind",1,"temp",1,"wind",0.891238670694864,1958-12-02,1967-01-29,"temp",0.886363636363636,1958-12-04,1967-01-29,"wind",0.877551020408163,1958-12-02,1967-01-29,0.818181818181818,1958-12-09,1967-01-28,9.38016672885246,0.11359967309078,2.29029630288922,6.06884787821053,0,1,0,0
"38","dvon01","dvon",3,0.149850569862,0.18161080624008,1.21194605003724,1.10088421282042,-1.89811668234381,"wind",8.66563351746857,"temp",-3.67270074976191,"Downsview","ON","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,81,43.75,-79.5,1,"wind",0.991379310344828,"temp",0.207317073170732,"wind",0.986301369863014,1958-12-02,1967-04-27,"temp",0.26890756302521,1958-12-03,1967-04-27,"wind",0.990654205607477,1958-12-02,1967-02-27,1,1958-12-02,1967-03-25,7.65620942226368,0.389842049328215,4.11039127751855,1.58453398675925,0,1,0,0
"39","dvon01","dvon",8,0.7965490910832,0.29380909089168,0.368852458913912,0.607332247549817,-0.227466518030735,"wind",8.66563351746857,"temp",-3.67270074976191,"Downsview","ON","C",1,"US Depot","Flat",0,2113.72996608,22,NA,2,0,0,0,81,43.75,-79.5,1,"wind",1,"temp",0.166666666666667,"wind",0.986301369863014,1958-12-02,1967-04-27,"temp",0.26890756302521,1958-12-03,1967-04-27,"wind",0.990654205607477,1958-12-02,1967-02-27,1,1958-12-02,1967-03-25,7.65620942226368,0.389842049328215,4.11039127751855,1.58453398675925,0,1,0,0
