building_code,city_code,City,Province,Type,Bld_Type,Name,Roof_Type,Slope,Size,Eave_Height,Material,Exposure,Heated,Insulated,Parapet,order,lat,long
nbon01,nbon,North Bay,ON,C,1,US Depot,Flat,0,22752,22,,2,0,0,0,83,46.3,-79.5
nbon02,nbon,North Bay,ON,C,2,Arch Hanger,Flat,0,35200,67,,2,0,0,0,84,46.3,-79.5
nbon03,nbon,North Bay,ON,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,85,46.3,-79.5
oton01,oton,Ottawa ,ON,A,1,72 Bishop Blvd,Gable,27,720,10,,2,1,1,0,33,45.4,-75.7
oton02,oton,Ottawa ,ON,A,2,40 Barker Blvd,Gable,27,720,10,,2,1,1,0,34,45.4,-75.7
oton03,oton,Ottawa ,ON,A,6,40A Barker Blvd,Gable,,1330,9,,2,1,1,0,35,45.4,-75.7
oton04,oton,Ottawa ,ON,A,3,DBR,Flat,0,2392,32,,2,1,1,0,36,45.4,-75.7
oton05,oton,Ottawa ,ON,A,4,Davidson Cres,Flat,0,2754,10,,2,1,1,0,37,45.4,-75.7
oton06,oton,Ottawa ,ON,A,5,Fairhavenway,Flat,0,2303,11,,0,1,1,0,38,45.4,-75.7
oton07,oton,Ottawa ,ON,C,2,Arch Hanger,Flat,NA,35200,67,,2,0,0,0,86,45.4,-75.7
oton08,oton,Ottawa ,ON,C,3,ME Garage,Flat,0,26112,21,,2,0,0,0,87,45.4,-75.7
oton09,oton,Ottawa ,ON,C,4,Cant Hangar,Flat,,127563,53,,2,0,0,0,88,45.4,-75.7
oton10,oton,Ottawa ,ON,A,NA,NRC Dome,Dome,,,,,2,0,0,,88.5,45.4,-75.7
qcqc01,qcqc,Quebec,QC,A,1,Pavilion Vachon,Flat,0,6528,70,,2,1,1,0,48,46.8,-71.2
qcqc02,qcqc,Quebec,QC,A,2,Gymnasium,Flat,0,13446,,,2,1,1,0,49,46.8,-71.2
rsbc01,rsbc,Revelstoke,BC,A,1,National Park Shelter,Gable,34,336,7,,0,0,0,0,8,51,-118.2
